Price,From,To,curr_date,departure_date,arrival_date,is_holiday,is_weekends,time_interval,avialine,duration
35788,Астана,Шымкент,2024-12-15,2025-01-02 10:35,2025-01-02 12:15,True,False,10:35-12:15,SCAT,100
35788,Астана,Шымкент,2024-12-15,2025-01-02 17:40,2025-01-02 19:30,True,False,17:40-19:30,SCAT,110
33443,Астана,Шымкент,2024-12-15,2025-01-03 23:20,2025-01-04 01:00,False,False,23:20-01:00,SCAT,100
36843,Астана,Шымкент,2024-12-15,2025-01-03 10:30,2025-01-03 12:10,False,False,10:30-12:10,SCAT,100
35499,Астана,Шымкент,2024-12-15,2025-01-03 17:40,2025-01-03 19:30,False,False,17:40-19:30,SCAT,110
37443,Астана,Шымкент,2024-12-15,2025-01-03 08:10,2025-01-03 10:00,False,False,08:10-10:00,SCAT,110
40843,Астана,Шымкент,2024-12-15,2025-01-03 14:10,2025-01-03 15:40,False,False,14:10-15:40,SCAT,90
43951,Астана,Шымкент,2024-12-15,2025-01-03 17:35,2025-01-03 19:30,False,False,17:35-19:30,FlyArystan,115
26518,Астана,Шымкент,2024-12-15,2025-01-04 23:20,2025-01-05 01:00,False,True,23:20-01:00,SCAT,100
26518,Астана,Шымкент,2024-12-15,2025-01-04 08:10,2025-01-04 10:00,False,True,08:10-10:00,SCAT,110
26518,Астана,Шымкент,2024-12-15,2025-01-04 14:10,2025-01-04 15:40,False,True,14:10-15:40,SCAT,90
26518,Астана,Шымкент,2024-12-15,2025-01-05 17:40,2025-01-05 19:30,False,True,17:40-19:30,SCAT,110
26918,Астана,Шымкент,2024-12-15,2025-01-05 10:30,2025-01-05 12:10,False,True,10:30-12:10,SCAT,100
26918,Астана,Шымкент,2024-12-15,2025-01-05 23:20,2025-01-06 01:00,False,True,23:20-01:00,SCAT,100
26918,Астана,Шымкент,2024-12-15,2025-01-05 14:10,2025-01-05 15:40,False,True,14:10-15:40,SCAT,90
26918,Астана,Шымкент,2024-12-15,2025-01-05 08:10,2025-01-05 10:00,False,True,08:10-10:00,SCAT,110
36531,Астана,Шымкент,2024-12-15,2025-01-05 22:50,2025-01-06 00:40,False,True,22:50-00:40,FlyArystan,110
25667,Астана,Шымкент,2024-12-15,2025-01-06 08:10,2025-01-06 10:00,False,False,08:10-10:00,SCAT,110
25667,Астана,Шымкент,2024-12-15,2025-01-06 23:20,2025-01-07 01:00,False,False,23:20-01:00,SCAT,100
25667,Астана,Шымкент,2024-12-15,2025-01-06 14:10,2025-01-06 15:40,False,False,14:10-15:40,SCAT,90
25667,Астана,Шымкент,2024-12-15,2025-01-06 17:40,2025-01-06 19:30,False,False,17:40-19:30,SCAT,110
25667,Астана,Шымкент,2024-12-15,2025-01-06 10:35,2025-01-06 12:15,False,False,10:35-12:15,SCAT,100
21643,Астана,Шымкент,2024-12-15,2025-01-07 14:10,2025-01-07 15:40,True,False,14:10-15:40,SCAT,90
22443,Астана,Шымкент,2024-12-15,2025-01-07 08:10,2025-01-07 10:00,True,False,08:10-10:00,SCAT,110
21643,Астана,Шымкент,2024-12-15,2025-01-07 23:20,2025-01-08 01:00,True,False,23:20-01:00,SCAT,100
18993,Астана,Шымкент,2024-12-15,2025-01-08 08:10,2025-01-08 10:00,False,False,08:10-10:00,SCAT,110
22332,Астана,Шымкент,2024-12-15,2025-01-08 23:20,2025-01-09 01:00,False,False,23:20-01:00,SCAT,100
22332,Астана,Шымкент,2024-12-15,2025-01-08 17:40,2025-01-08 19:30,False,False,17:40-19:30,SCAT,110
22332,Астана,Шымкент,2024-12-15,2025-01-08 10:30,2025-01-08 12:10,False,False,10:30-12:10,SCAT,100
22332,Астана,Шымкент,2024-12-15,2025-01-08 14:10,2025-01-08 15:40,False,False,14:10-15:40,SCAT,90
19146,Астана,Шымкент,2024-12-15,2025-01-09 10:35,2025-01-09 12:15,False,False,10:35-12:15,SCAT,100
19146,Астана,Шымкент,2024-12-15,2025-01-09 23:20,2025-01-10 01:00,False,False,23:20-01:00,SCAT,100
19146,Астана,Шымкент,2024-12-15,2025-01-09 17:40,2025-01-09 19:30,False,False,17:40-19:30,SCAT,110
19146,Астана,Шымкент,2024-12-15,2025-01-09 08:10,2025-01-09 10:00,False,False,08:10-10:00,SCAT,110
21643,Астана,Шымкент,2024-12-15,2025-01-09 14:10,2025-01-09 15:40,False,False,14:10-15:40,SCAT,90
25877,Астана,Шымкент,2024-12-15,2025-01-09 13:05,2025-01-09 15:00,False,False,13:05-15:00,Qazaq Air,115
22332,Астана,Шымкент,2024-12-15,2025-01-10 23:20,2025-01-11 01:00,False,False,23:20-01:00,SCAT,100
22332,Астана,Шымкент,2024-12-15,2025-01-10 10:30,2025-01-10 12:10,False,False,10:30-12:10,SCAT,100
22332,Астана,Шымкент,2024-12-15,2025-01-10 08:10,2025-01-10 10:00,False,False,08:10-10:00,SCAT,110
22332,Астана,Шымкент,2024-12-15,2025-01-10 14:10,2025-01-10 15:40,False,False,14:10-15:40,SCAT,90
22332,Астана,Шымкент,2024-12-15,2025-01-10 17:40,2025-01-10 19:30,False,False,17:40-19:30,SCAT,110
24871,Астана,Шымкент,2024-12-15,2025-01-10 17:35,2025-01-10 19:30,False,False,17:35-19:30,FlyArystan,115
19146,Астана,Шымкент,2024-12-15,2025-01-11 23:20,2025-01-12 01:00,False,True,23:20-01:00,SCAT,100
22629,Астана,Шымкент,2024-12-15,2025-01-11 08:10,2025-01-11 10:00,False,True,08:10-10:00,SCAT,110
22629,Астана,Шымкент,2024-12-15,2025-01-11 14:10,2025-01-11 15:40,False,True,14:10-15:40,SCAT,90
22787,Астана,Шымкент,2024-12-15,2025-01-11 13:05,2025-01-11 15:00,False,True,13:05-15:00,Qazaq Air,115
29641,Астана,Шымкент,2024-12-15,2025-01-11 16:50,2025-01-11 18:45,False,True,16:50-18:45,FlyArystan,115
19243,Астана,Шымкент,2024-12-15,2025-01-12 08:10,2025-01-12 10:00,False,True,08:10-10:00,SCAT,110
19243,Астана,Шымкент,2024-12-15,2025-01-12 23:20,2025-01-13 01:00,False,True,23:20-01:00,SCAT,100
22743,Астана,Шымкент,2024-12-15,2025-01-12 14:10,2025-01-12 15:40,False,True,14:10-15:40,SCAT,90
