Price,From,To,curr_date,departure_date,arrival_date,is_holiday,is_weekends,time_interval,avialine,duration
26243,Астана,Алматы,2024-12-15,2025-01-02 21:05,2025-01-02 22:45,True,False,21:05-22:45,SCAT,100
41743,Астана,Алматы,2024-12-15,2025-01-02 10:50,2025-01-02 12:30,True,False,10:50-12:30,SCAT,100
37743,Астана,Алматы,2024-12-15,2025-01-02 05:30,2025-01-02 07:15,True,False,05:30-07:15,SCAT,105
37743,Астана,Алматы,2024-12-15,2025-01-02 19:10,2025-01-02 20:35,True,False,19:10-20:35,SCAT,85
37743,Астана,Алматы,2024-12-15,2025-01-02 22:10,2025-01-03 00:05,True,False,22:10-00:05,SCAT,115
38631,Астана,Алматы,2024-12-15,2025-01-02 02:05,2025-01-02 03:55,True,False,02:05-03:55,Air Astana,110
38631,Астана,Алматы,2024-12-15,2025-01-02 22:20,2025-01-03 00:15,True,False,22:20-00:15,Air Astana,115
40837,Астана,Алматы,2024-12-15,2025-01-02 06:10,2025-01-02 08:05,True,False,06:10-08:05,FlyArystan,115
41743,Астана,Алматы,2024-12-15,2025-01-02 14:55,2025-01-02 16:25,True,False,14:55-16:25,SCAT,90
25643,Астана,Алматы,2024-12-15,2025-01-03 14:55,2025-01-03 16:25,False,False,14:55-16:25,SCAT,90
25643,Астана,Алматы,2024-12-15,2025-01-03 10:50,2025-01-03 12:30,False,False,10:50-12:30,SCAT,100
25643,Астана,Алматы,2024-12-15,2025-01-03 22:10,2025-01-04 00:05,False,False,22:10-00:05,SCAT,115
25643,Астана,Алматы,2024-12-15,2025-01-03 12:05,2025-01-03 13:45,False,False,12:05-13:45,SCAT,100
25643,Астана,Алматы,2024-12-15,2025-01-03 05:30,2025-01-03 07:15,False,False,05:30-07:15,SCAT,105
25643,Астана,Алматы,2024-12-15,2025-01-03 19:10,2025-01-03 20:35,False,False,19:10-20:35,SCAT,85
26243,Астана,Алматы,2024-12-15,2025-01-03 21:05,2025-01-03 22:45,False,False,21:05-22:45,SCAT,100
26243,Астана,Алматы,2024-12-15,2025-01-03 20:55,2025-01-03 23:00,False,False,20:55-23:00,SCAT,125
42578,Астана,Алматы,2024-12-15,2025-01-03 22:20,2025-01-04 00:15,False,False,22:20-00:15,Air Astana,115
